,Store_Name,Store_ID
146,AAC Katra Sher Singh Dispensary,99914186
147,AAC Kauli,99913056
148,AAC KaunkeKalan,99913079
149,AAC Kazi Mandi,99913226
150,AAC Khalra,99909731
151,AAC Khanauri Kalan,99913202
152,AAC Khanna,99909806
153,AAC  Khanpur Khuhi,99910349
154,AAC Khera Gajju,99913357
155,AAC Kheta Singh Basti,99909751
156,AAC Khijrabad,99913284
157,AAC Khojki Chak,99909724
158,AAC Khubban,99909714
159,AAC Kiratpur Sahib,99913111
160,AAc Kishan Pura Kalan,99913173
161,AAC Kot Baba Singh Deep Park,99909740
162,AAC Kot Badal Khan,99913130
163,AAC Kotfatta,99909747
164,AAC Kot Karor Kalan,99909760
165,AAC Kot Khalsa,99913082
166,AAC Kotla,99909790
167,AAC Kotla Nihang,99913112
168,AAC Kot Mit Singh,99914187
169,AAC Kularian,99913159
170,AAC Kuthala,99913088
171,AAC Ladowal,99903787
172,AAC Lakhnaur,99909782
173,AAC Landran,99913289
174,AAC Lopon,99913269
175,AAC Malian Kalan,99913133
176,AAC Manvi,99913085
177,AAC Maqsoodpur,99913244
178,AAC Maqsudan,99913136
179,AAC Maqsudan,99913137
180,AAC Mardan Pur,99913025
181,AAC Market Committee Zira,99909759
182,AAC Masanian,99909730
183,AAC Maur 2,99909748
184,AAC MC Raikot,99909807
185,AAC Meerpur Panchayat,99909749
186,AAC Mehar Singh Wala,99909761
187,AAC Mehatpur,99906695
188,AAC Mehdoodan,99913075
189,AAC Mohalla sarfan Rahon,99909784
190,AAC Moranwali,99913095
191,AAC Mullanpur,99913066
192,AAC Mundi Kharar,99913281
193,AAC Municipal Corporation Hoshiarpur,99909765
194,AAC Municipal Corporation Ldh,99909800
195,AAC Muslim Ganj,99909744
196,AAC Nadampur,99913208
197,AAC Naloyan Chowk Hoshiarpur,99909763
198,AAC Nanowal Jinder,99913371
199,AAC Nayagaon,99913218
200,AAC Old Chungi,99914188
201,AAC Old Civil Hospital Malerkotla,99909809
202,AAC Old Estate,99914189
203,AAC Old Hospital Jagraon,99909798
204,AAC Old Mc Office Nabha,99909775
205,AAC Old Tehsil Office Malerkotla,99909732
206,AAC Opd  Atholi,99913229
207,AAC OPD Dhilwan,99913250
208,AAC Opd Kabirpiur,99913230
209,AAC OPD  Kalakh,99913329
210,AAC OPD Khallu,99913236
211,AAC OPD Palahi,99913255
212,AAC Opd Paramjitpur,99913231
213,AAC OPD Purain,99913304
214,AAC OPD Ranipur,99913233
215,AAC OPD Saprore,99913253
216,AAC padiala,99909797
217,AAC Paldi,99906667
218,AAC Pandori Nirajan,99913103
219,AAC Pasla,99909783
220,AAC Patto Hira Singh,99913174
221,AAC Peer Muchhalla,99909734
222,AAC Phapre Bhai Ke,99913157
223,AAC Pharwala,99909778
224,AAC Phase 1,99913290
225,AAC Phase 11,99913285
226,AAC Phase 5 Mohali,99909729
227,AAC Phase 7,99913286
228,AAC Phase 9,99913217
229,AAC PHC 3B1,99913222
230,AAC PHC Aarno,99912503
231,AAC PHC Abiana,99910347
232,AAC PHC Ajnoda,99901493
233,AAC PHC Ajnoha,99912407
234,AAC PHC Ajrawar,99913352
235,AAC PHC Alawalpur near Committee Tubewell,99909770
236,AAC PHC Algon kothi,99909148
237,AAC PHC Aliwal,99901327
238,AAC PHC Amrali,99910340
239,AAC PHC Andlu,99910250
240,AAC PHC Arif ke,99913425
241,AAC PHC Arjanwal,99913134
242,AAC PHC Atholi,99910353
243,AAC PHC Attari,99901403
244,AAC PHC Aur,99901480
245,AAC PHC Babbarpur,99912424
246,AAC PHC Babehali,99909297
247,AAC PHC Badian,99913142
248,AAC PHC Badla,99909938
249,AAC PHC Bagpur,99912401
250,AAC PHC Bakhna Kalan,99910144
251,AAC PHC Balbera,99901487
252,AAC PHC Balhari Kalan,99912370
253,AAC PHC Balluana Btd,99901413
254,AAC PHC Balluana Fzk,99901365
255,AAC PHC Baloki,99901388
256,AAC PHC Baloki OPD,99902641
257,AAC PHC Bamyal,99901334
258,AAC PHC Bargari,99901422
259,AAC PHC Barian Kalan,99912408
260,AAC PHC Barth Sahib,99912530
261,AAC PHC Basauli,99901473
262,AAC PHC Bassian,99909975
263,AAC PHC Bathal,99909223
264,AAC PHC Bath Sahib,99913277
265,AAC PHC Behbalmanj,99912396
266,AAC PHC  Behram,99913023
267,AAC PHC Behrampur,99901338
268,AAC PHC Behrampur Zimidara,99910344
269,AAC PHC Bhagrana,99901452
270,AAC PHC Bhai Ka Khera,99910114
271,AAC PHC Bhaini Bagha,99910146
272,AAC PHC Bhalan,99910334
273,AAC PHC Bhalwan,99913205
274,AAC PHC Bhamarsi,99912373
275,AAC PHC Bhangala,99901346
276,AAC PHC Bhanohar,99913060
277,AAC PHC Bhanohor,99909978
278,AAC PHC Bhano Langa,99901390
279,AAC PHC Bhano Langa OPD,99902642
280,AAC PHC Bharath,99913316
281,AAC PHC Bhari,99901454
282,AAC PHC Bharta Khurd,99901483
283,AAC PHC Bhasaur,99913216
284,AAC PHC Bhathlan,99901405
285,AAC PHC Bheniwal,99913167
286,AAC PHC Bhinder,99910122
287,AAC PHC Bhoa,99901332
288,AAC PHC Bhular,99901340
289,AAC PHC Bhumbli,99912416
290,AAC PHC Bhutal Kalan,99912564
291,AAC PHC Bhutter Kalan,99901432
292,AAC PHC Bilaspur,99901434
293,AAC PHC Bilga,99901381
294,AAC PHC Bilga OPD,99902634
295,AAC PHC Binjon,99909224
296,AAC PHC Bohha,99901428
297,AAC PHC Bolina Doaba,99912524
298,AAC PHC Boormajra,99910341
299,AAC PHC Boothgarh,99901477
300,AAC PHC Boparai Kalan,99901467
301,AAC PHC Brar,99910143
302,AAC PHC Bulhowal,99901350
303,AAC PHC Buttar Amritsar,99910120
304,AAC PHC Butter Kalan,99913270
305,AAC PHC Buttran,99910267
306,AAC PHC Chabewal,99901351
307,AAC PHC Chak Atar Singh Wala,99908946
308,AAC PHC Chak Janisar,99912754
309,AAC PHC Chakmukand,99910256
310,AAC PHC Chanaur,99912394
311,AAC PHC Chand Niwana,99901442
312,AAC PHC Chandon,99901476
313,AAC PHC Chappa,99913195
314,AAC PHC Charik,99910220
315,AAC PHC Chaukowal,99901349
316,AAC PHC Chaukowal OPD,99902602
317,AAC PHC Chhajli,99901516
318,AAC PHC Chitti,99912377
319,AAC PHC  Chola Sahib,99913148
320,AAC PHC Chowkiman,99901472
321,AAC PHC Chowkiman OPD,99902724
322,AAC PHC Daleke,99909151
323,AAC PHC Dalla Badla,99913324
324,AAC PHC Daroli Kalan,99901379
325,AAC PHC Daroli Kalan OPD,99902632
326,AAC PHC Datarpur,99910312
327,AAC PHC Daulat Pur Niwan,99910327
328,AAC PHC Dayalpur,99912534
329,AAC PHC Dehargawar,99910315
330,AAC PHC Dera Sahib,99913150
331,AAC PHC Dhainthail,99912494
332,AAC PHC Dhaipai,99901425
333,AAC PHC Dhanetah,99912495
334,AAC PHC Dhanowali,99913135
335,AAC PHC Dhapali,99908949
336,AAC PHC Dhapali OPD,99914211
337,AAC PHC Dharamkot,99901439
338,AAC PHC Dharamkot Randhawa,99910316
339,AAC PHC Dher,99901507
340,AAC PHC Dhilwan,99909190
341,AAC PHC Dhilwan Barnala,99912471
342,AAC PHC Dhipali,99912780
343,AAC PHC Dhyanpur,99901342
344,AAC PHC Didwindi,99901392
345,AAC PHC Didwindi OPD,99902644
346,AAC PHC Dorangla,99901339
347,AAC PHC Dosanjh Kalan,99912533
348,AAC PHC Dunera,99901333
349,AAC PHC Dyal Pur Mirja,99908948
350,AAC PHC Fatehabad,99901397
351,AAC PHC Fatehgarh Panjgraian Sangrur,99908912
352,AAC PHC Fatehgarh Panj Toor,99901437
353,AAC PHC Fatehpur,99912425
354,AAC PHC Gagarpur,99913206
355,AAC PHC Gajewas,99912496
356,AAC PHC Gajju Majra,99901498
357,AAC PHC Gandwan,99912559
358,AAC PHC Gehal,99912531
359,AAC PHC Gharachon,99909181
360,AAC PHC Gharam,99912428
361,AAC PHC Gharuan,99901474
362,AAC PHC Ghiyala,99901331
363,AAC PHC Ghogra,99909937
364,AAC PHC Ghubaya,99912752
365,AAC PHC Ghwadi,99901461
366,AAC PHC Ghwadi OPD,99902713
367,AAC PHC Gidderpindi,99912526
368,AAC PHC Gill Manj,99901325
369,AAC PHC Goindwal Sahib,99901398
370,AAC PHC Golewala,99901420
371,AAC PHC Gopalpur,99913358
372,AAC PHC Gorayan,99912523
373,AAC PHC Gowara,99901513
374,AAC PHC Gulabewala,99909140
375,AAC PHC Gunopur,99901326
376,AAC PHC Gurdaspur Bhaian,99912527
377,AAC PHC Guru Sar,99901421
378,AAC PHC Gurusar Mandhir,99913040
379,AAC PHC Hambran Ptl,99913052
380,AAC PHC Hamidi,99910225
381,AAC PHC Hari ke kalan,99909154
382,AAC PHC Hari Nau,99908941
383,AAC PHC Harpalpur,99901499
384,AAC PHC Haryao,99913204
385,AAC PHC Hassanpur,99908953
386,AAC PHC Hasta Kalan,99912808
387,AAC PHC Humbran Ldh,99910150
388,AAC PHC Iban Kalan,99901317
389,AAC PHC Isru,99901464
390,AAC PHC Jabowal,99912490
391,AAC PHC Jadla,99901484
392,AAC PHC Jaijon,99901355
393,AAC PHC Jaito Sarja,99913334
394,AAC PHC Jakhepal,99901517
395,AAC PHC Jalalabad East,99912802
396,AAC PHC Jallowal,99912391
397,AAC PHC Jamsher,99901383
398,AAC PHC Jamsher OPD,99902636
399,AAC PHC Janauri,99901344
400,AAC PHC Janauri OPD,99902597
401,AAC PHC Jandiala,99901385
402,AAC PHC Jandiala Guru,99901319
403,AAC PHC Jandiala OPD,99902638
404,AAC PHC Jandwala Bhimeshah,99901373
405,AAC PHC Jasraur,99910141
406,AAC  PHC Jaura Chhitra,99909120
407,AAC PHC Jaurkian,99901431
408,AAC PHC Jejon OPD,99902608
409,AAC PHC Jhandia Kalan,99909687
410,AAC PHC Jharoli,99913333
411,AAC PHC Jhokh Hari Har,99913307
412,AAC PHC Jhumian Wali,99912410
413,AAC PHC Jiwa Arain,99901363
414,AAC PHC Jodhpur Pakhar,99901411
415,AAC PHC Joga,99901426
416,AAC PHC Jogipur,99901488
417,AAC PHC Kabarwala,99912413
418,AAC PHC Kabirpur,99910339
419,AAC PHC Kakrala,99901491
420,AAC PHC Kala Afgana,99901328
421,AAC PHC Kalakh,99912382
422,AAC PHC Kaler,99901314
423,AAC PHC Kalia,99912570
424,AAC PHC Kaller Khera,99910204
425,AAC PHC Kaller khera OPD,99914272
426,AAC PHC Kalyanpur,99912415
427,AAC PHC Kamam,99913297
428,AAC PHC Kandhala Shekhan,99909876
429,AAC PHC Kandila,99913336
430,AAC PHC Kandu Khera,99910116
431,AAC PHC Kanian Wali,99901443
432,AAC PHC Kanjhla,99901519
433,AAC PHC Kapuri,99913024
434,AAC PHC Karandi,99912869
435,AAC PHC Karar Wala,99901419
436,AAC PHC Karni Khera,99912807
437,AAC PHC Kassoana,99901367
438,AAC PHC Katani Kalan,99912398
439,AAC PHC  Katarian,99913027
440,AAC PHC Kathera,99910333
441,AAC PHC Kathgarh,99910299
442,AAC PHC Kathlour,99910214
443,AAC PHC Kathu Nangal,99901321
444,AAC PHC Kauli,99901497
445,AAC PHC Kaunke Kalan,99912451
446,AAC PHC Khai Pheme Ke,99901360
447,AAC PHC Khalu,99910350
448,AAC PHC Khanauri Kalan,99901510
449,AAC PHC Khan Khanan,99909110
450,AAC PHC Khan Pur Khuhi,99901503
451,AAC PHC Khatkar Kalan,99913295
452,AAC PHC Khatwan,99912411
453,AAC PHC Kheowali Dhab,99901370
454,AAC PHC Khera Gajju,99901489
455,AAC PHC Khera Gurna,99913359
456,AAC PHC Khijrabad,99901478
457,AAC PHC Khilchian,99910121
458,AAC PHC Khizargarh,99910015
459,AAC PHC Khosa Dal Singh,99913407
460,AAC PHC Khosa Randhir,99910319
461,AAC PHC Khun Khun Kalan,99909939
462,AAC PHC Kiampur,99910291
463,AAC PHC Killian Wali,99901371
464,AAC PHC Kiratpur Sahib,99901506
465,AAC PHC Kirtowal,99901394
466,AAC PHC Kishan Pur Kalan,99901438
467,AAC PHC Kokri kalan,99910217
468,AAC PHC Kot Badal Khan,99910301
469,AAC PHC Kot bhai,99912516
470,AAC PHC Kot Sukhia,99908939
471,AAC PHC krandi wrong,99913163
472,AAC PHC Kularian,99901429
473,AAC PHC Kup Kalan,99913397
474,AAC PHC Kuthala,99901520
475,AAC PHC Ladowal,99901469
476,AAC PHC Ladowal OPD,99902721
477,AAC PHC Ladpur,99901456
478,AAC PHC Laduka Mandi,99901374
479,AAC PHC Lakho Ke Behram,99901359
480,AAC PHC Lalley,99910294
481,AAC PHC Lamochar Kalan,99912753
482,AAC PHC Lande,99910328
483,AAC PHC Landran,99901475
484,AAC PHC Lassuri,99912525
485,AAC PHC Lehra Mohabbat,99908952
486,AAC PHC Lehra Mohabbat Deaddiction,99914139
487,AAC PHC Lohatbaddi,99909976
488,AAC PHC Lopon,99901436
489,AAC PHC Madhopur,99910248
490,AAC  PHC Mahilan,99909048
491,AAC PHC Mahuana,99910210
492,AAC PHC Majat,99909829
493,AAC PHC Makhsoodpur,99908910
494,AAC PHC Malan Wala,99901369
495,AAC PHC Malian Kalan,99910246
496,AAC PHC Mallian Wala,99910218
497,AAC PHC Malowal,99901457
498,AAC PHC Malwal,99910293
499,AAC PHC Mand,99913325
500,AAC PHC Mandi Kalan,99908951
501,AAC PHC Mandvi,99913210
502,AAC PHC Maniana,99912569
503,AAC PHC Mansuran,99912381
504,AAC PHC Manuke Ludhiana,99913169
505,AAC PHC Manuke Moga,99901441
506,AAC PHC Manvi,99901514
507,AAC PHC Mao Sahib,99912513
508,AAC PHC Marara,99913332
509,AAC PHC Mardan Pur,99901500
510,AAC PHC Matewal,99901315
511,AAC PHC Maujgarh,99910206
512,AAC PHC Mehatpur,99901387
513,AAC PHC Mehatpur OPD,99902640
514,AAC PHC Mehatpur SHC,99914073
515,AAC PHC Mehdoodan,99901463
516,AAC PHC Mehlanwali,99901352
517,AAC PHC Miani,99901348
518,AAC PHC Mimsa,99913207
519,AAC PHC Model Town LDH,99913327
520,AAC PHC Mudki,99901362
521,AAC PHC Mullanpur Ludhiana,99901459
522,AAC PHC Mullanpur Mohali,99909830
523,AAC PHC Mullepur,99912374
524,AAC PHC Mulowal,99913209
525,AAC PHC Muzaffarpur,99901482
526,AAC PHC Nabipur,99912371
527,AAC PHC Nadampur,99901512
528,AAC PHC Nagar,99912535
529,AAC PHC Nandpur Kalaur,99901451
530,AAC PHC Nangal kalan,99910145
531,AAC PHC Nanowal,99912368
532,AAC PHC Nanowal Jinder,99912403
533,AAC PHC Nasrala,99912400
534,AAC PHC Nawanpind,99910285
535,AAC PHC Nogawan,99912376
536,AAC PHC Nur Pur Sethan,99913305
537,AAC PHC Othian,99910140
538,AAC PHC Ottalan,99910202
539,AAC PHC Padrana,99913241
540,AAC PHC Pakka Kalan,99901416
541,AAC PHC Palahi,99910354
542,AAC PHC Paldi,99901354
543,AAC PHC Paldi OPD,99902607
544,AAC PHC Palheri,99909825
545,AAC PHC Pandori Nijjran,99910266
546,AAC PHC Pandori Ram Singh,99901401
547,AAC Phc Pandwala,99910014
548,AAC PHC Pandwala,99909826
549,AAC PHC Paniali,99910300
550,AAC PHC Paniwala Fatta,99901450
551,AAC PHC Panje ke Uttar,99912442
552,AAC PHC Panj Garain Kalan Fdk,99909868
553,AAC PHC Panjgarain Kalan fdk HWC,99914296
554,AAC PHC Panjgarain Kalan fdk Lab Department,99914295
555,AAC PHC Panjgarain Kalan fdk Labor Room,99914294
556,AAC PHC Panjgarain Kalan fdk OPD,99914292
557,AAC PHC Panjgarain Kalan fdk Ward,99914293
558,AAC PHC Panj Garania Kalan Gsp,99901423
559,AAC PHC Panj Kosi,99901372
560,AAC PHC Panniwala Mahla,99913417
561,AAC PHC Paramjitpur,99910338
562,AAC PHC Patto Hira Singh,99901433
563,AAC PHC Phapre Bhai Ke,99901427
564,AAC PHC Phase 3B1,99909834
565,AAC PHC Phuglana,99901353
566,AAC PHC Pojewal,99909156
567,AAC PHC Possi,99901356
568,AAC PHC Purain,99910149
569,AAC PHC Pur Khali,99901505
570,AAC PHC Raipur Pharala,99901384
571,AAC PHC Raipur Pharala OPD,99902637
572,AAC PHC Raipur Rasulpur,99901380
573,AAC PHC Raipur Rasulpur OPD,99902633
574,AAC PHC Rajasansi,99910142
575,AAC PHC Rajeana,99910329
576,AAC PHC Ramdas,99901323
577,AAC PHC Ram Nagar,99912414
578,AAC PHC Rampur,99901458
579,AAC PHC Rampura Bilron,99909226
580,AAC PHC Rampur OPD,99902710
581,AAC PHC Randhawa Masandhan,99901375
582,AAC PHC Randhawa Masandhan OPD,99902628
583,AAC PHC Rangar Nangal,99901341
584,AAC PHC Ranghrail,99909981
585,AAC PHC Ranipur,99910351
586,AAC Phc Ranjit Bagh,99909295
587,AAC PHC Rauke Kalan,99910356
588,AAC PHC Rauni,99910205
589,AAC PHC Rori Kapura,99908940
590,AAC PHC Roshanpur Jungian,99912420
591,AAC PHC Rupewali,99901376
592,AAC PHC Rupewali OPD,99902629
593,AAC PHC Rurka Kalan,99901386
594,AAC PHC Rurka Kalan OPD,99902639
595,AAC PHC Rurke Kalan,99901406
596,AAC PHC Sabadi Kalan Ludhiana,99910152
597,AAC PHC Sabhra,99909144
598,AAC PHC Sahiba,99909155
599,AAC PHC Sahjowal,99901508
600,AAC PHC Sandhawan Pharala,99901486
601,AAC PHC Sangatpur Sodhian,99912375
602,AAC PHC Sanghol,99901453
603,AAC PHC Sapror,99910352
604,AAC PHC Sarai Amanat Khan,99909157
605,AAC PHC Sarhala Kalan,99912405
606,AAC PHC Sarih,99910245
607,AAC PHC  Sarion,99913117
608,AAC PHC Sarustigarh,99912422
609,AAC PHC Satkoha,99912417
610,AAC PHC Sauja,99912423
611,AAC PHC Sehna,99912470
612,AAC PHC Shivpuri,99913326
613,AAC PHC Shri Hargobind Pur,99901330
614,AAC PHC Siarh,99913339
615,AAC PHC Singhe Wala,99901448
616,AAC PHC Sohangarh,99912947
617,AAC PHC Sujjon,99901485
618,AAC PHC Sukhanand,99913263
619,AAC PHC Sulhani,99910295
620,AAC PHC Surakhpur,99901391
621,AAC PHC Surakhpur & SHC-OPD,99902643
622,AAC PHC Surat Pur Farm,99913076
623,AAC PHC Sus,99913094
624,AAC PHC Swaddi Kalan Patiala,99913328
625,AAC PHC Tahli Sahib,99910297
626,AAC PHC Tahli Wala Bodla,99912806
627,AAC PHC Takarla,99910298
628,AAC PHC Talwan,99901382
629,AAC PHC Talwandi Bhai,99901361
630,AAC PHC Talwandi Kalan Ludhiana,99910151
631,AAC PHC Talwandi Kalan OPD,99902718
632,AAC PHC Talwandi Kalan Patiala,99901466
633,AAC PHC Talwan OPD,99902635
634,AAC PHC Tanda Ram Sahai,99912395
635,AAC PHC Taragarh Gsp,99901335
636,AAC PHC Taragarh Ptk,99913365
637,AAC PHC Thandewala,99901444
638,AAC PHC Thikriwala,99910228
639,AAC PHC Threawal,99901320
640,AAC PHC Ubha,99901424
641,AAC PHC Ubhawal,99909265
642,AAC PHC Udhan Wal,99901329
643,AAC PHC Ugi,99901389
644,AAC PHC Valtoha,99901395
645,AAC PHC Varpal,99910284
646,AAC PHC Virk Kalan,99908944
647,AAC PHC Wadala Bangar,99910288
648,AAC PHC Wadala Garanthian,99913367
649,AAC PHC Wadla Viram,99910286
650,AAC PHC Wakilan Wala,99913409
651,AAC PHC Waryam Khera,99901366
652,AAC Pink Plaza,99909739
653,AAC Preet Colony,99913221
654,AAC PSPCL Ludhiana,99909808
655,AAC Punjab water and sanitation Dept & Sewarage,99909758
656,AAC Purherian,99913099
657,Aac Purkhali,99913110
658,AAC Putligarh,99913030
659,AAC PWD Colony,99909726
660,AAC Raipur Pharala,99906693
661,AAC Raipur Rasulpur,99906691
662,AAC Rajan Colony,99909769
663,AAC Raja Sansi,99913198
664,AAC Rajpura 2,99913343
665,AAC Raman,99909752
666,AAC Rambagh,99913190
667,AAC Rampur,99903782
668,AAC Randhawa Masandhan,99906689
669,AAC Rangar Nangal,99913362
670,AAC Ranjit Avenue,99909711
671,AAC Rarh Mansa,99909719
672,AAC Rasulpur,99909728
673,AAC Rethgarh,99909820
674,AAC RH Mansoora OPD,99902714
675,AAC RH Ugi OPD,99902581
676,AAC Rorikapura,99912510
677,AAC Rupewal,99906690
678,AAC Rurka Kalan,99906694
679,AAC Sabrai,99913149
680,AAC Sadhanwala Faridkot,99909710
681,Aac Sahjowal,99913106
682,AAC Saidpur MC Derabassi,99909737
683,AAC Sangrur 1,99913122
684,AAC Sarhala Kalan,99913098
685,AAC Sarih,99913132
686,AAC Satya Enclave,99914174
687,AAC Sewa Kendar,99914175
688,AAC Sewa Nagar,99909741
689,AAC Sherkowal,99909768
690,AAC Shri Hargobind Pur,99913361
691,AAC Sona Casting Mandi Gobindgarh,99909755
692,AAC sub zone,99909804
693,AAC Suffian chownk,99909799
694,AAC Sujo Kalia,99909720
695,AAC Sullar,99913053
696,AAC Surakhpur,99906696
697,AAC  Takarla,99901479
698,AAC Talwan,99906692
699,AAC Talwandi Kalan,99903786
700,AAC Talwandi Sabo,99909750
701,AAC Tara Garh,99913271
702,AAC Thikriwala,99913193
703,AAC Threawal,99913182
704,AAC Transport Nagar Ldh,99909715
705,AAC Ubha,99913164
706,AAC UD Badungar,99913386
707,AAC Udham Singh Nagar,99909717
708,AAC Udhan Wal,99913372
709,AAC  UD Mini Secretariat Ropar,99913109
710,AAC UD Raj Nagar Nangal,99913105
711,AAC UD RC Batala 2,99913379
712,AAC UD USAD Sunam,99913116
713,AAC UD Usad Zira,99913312
714,AAC Ugi,99903942
715,AAC Ugo Ke,99909746
716,AAC ULB Office Rayya,99909743
717,AAC UPHC 1 Malout,99912515
718,AAC UPHC 1 Muktsar,99910207
719,AAC UPHC 1 Nai Abadi JP Park Abohar,99913416
720,AAC UPHC 2 Patel Nagar Abohar,99913415
721,AAC UPHC Abdullapur Basti,99913074
722,AAC UPHC Anand Nagar B,99910269
723,AAC UPHC Arya Samaj,99910270
724,AAC UPHC Balbir Basti,99912486
725,AAC UPHC Baltana,99909832
726,AAC UPHC Bara,99913423
727,AAC UPHC Basant Avenue,99908964
728,AAC UPHC Basti Danismanda,99912444
729,AAC UPHC Basti Surgapuri Kotkapura,99910236
730,AAC UPHC Bazigar Basti,99912488
731,AAC UPHC Beant Nagar,99909236
732,AAC UPHC Bhagtawala,99908962
733,AAC UPHC Bhagwan Nagar,99913338
734,AAC UPHC Bhai daya Singh Mustafabad,99908970
