,Store,Store_Type,Transaction_Type,Other_Store,Drug_Name,Moving_Type,Drug_Rate,Batch No,Date,Expiry,Received Qty,Issued Qty,Balance,Issue_Type,Issue_Number,Transaction_Number,Particulars,Document_Date
28,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Tenofovir 300mg Tab [999],Slow Moving,1,T-94004,05-04-2023 10:34,31-Oct-24,30,0,50,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400005 From DDW : DWH Bathinda Transaction No. 1031230400005 Document Date : 05-Apr-2023,05-Apr-23
29,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Tenofovir 300mg Tab [999],Slow Moving,1,T-94004,04-05-2023 09:11,31-Oct-24,20,0,40,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500008 From DDW : DWH Bathinda Transaction No. 1031230500008 Document Date : 04-May-2023,04-May-23
30,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Tenofovir 300mg Tab [999],Slow Moving,1,T-94004,08-05-2023 10:43,31-Oct-24,16,0,36,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500077 From DDW : DWH Bathinda Transaction No. 1031230500077 Document Date : 08-May-2023,08-May-23
31,DH Bathinda,Both,RECEIVED_FROM_STORE,DWH Bathinda,Tenofovir 300mg Tab [999],Slow Moving,1,T-94005,05-06-2023 10:43,30-Nov-24,100,0,120,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600025 From DDW : DWH Bathinda Transaction No. 1031230600025 Document Date : 05-Jun-2023,05-Jun-23
32,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3135598,17-02-2023 10:19,31-May-24,200,0,200,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200212 From DDW : DWH Bathinda Transaction No. 1031230200212 Document Date : 17-Feb-2023,17-Feb-23
33,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3135598,07-03-2023 11:45,31-May-24,251,0,251,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300045 From DDW : DWH Bathinda Transaction No. 1031230300045 Document Date : 07-Mar-2023,07-Mar-23
34,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3124801,15-03-2023 10:52,30-Sep-23,150,0,150,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300170 From DDW : DWH Bathinda Transaction No. 1031230300170 Document Date : 15-Mar-2023,15-Mar-23
35,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101607,13-04-2023 23:08,30-Sep-23,100,0,200,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400097 From DDW : DWH Bathinda Transaction No. 1031230400097 Document Date : 13-Apr-2023,13-Apr-23
36,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101607,04-05-2023 11:05,30-Sep-23,50,0,100,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400268 From DDW : DWH Bathinda Transaction No. 1031230400268 Document Date : 04-May-2023,04-May-23
37,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101603,19-05-2023 13:50,30-Sep-23,160,0,260,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500090 From DDW : DWH Bathinda Transaction No. 1031230500090 Document Date : 19-May-2023,19-May-23
38,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101607,19-05-2023 13:52,30-Sep-23,50,0,310,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500005 From DDW : DWH Bathinda Transaction No. 1031230500005 Document Date : 19-May-2023,19-May-23
39,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3127192,10-06-2023 13:00,30-Nov-23,190,0,340,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500320 From DDW : DWH Bathinda Transaction No. 1031230500320 Document Date : 10-Jun-2023,10-Jun-23
40,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,CS Mansa,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3127192,23-06-2023 12:57,30-Nov-23,93,0,433,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600014 From DDW : CS Mansa Transaction No. 1031230600014 Document Date : 23-Jun-2023,23-Jun-23
41,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210904,04-05-2023 11:05,31-Aug-23,20,0,126,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400268 From DDW : DWH Bathinda Transaction No. 1031230400268 Document Date : 04-May-2023,04-May-23
42,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,CS Mansa,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210905,23-06-2023 12:57,31-Aug-23,7,0,113,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600014 From DDW : CS Mansa Transaction No. 1031230600014 Document Date : 23-Jun-2023,23-Jun-23
43,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,CS Mansa,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210905,23-06-2023 12:58,31-Aug-23,3,0,116,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600016 From DDW : CS Mansa Transaction No. 1031230600016 Document Date : 23-Jun-2023,23-Jun-23
44,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Tenofovir 300mg Tab [999],Slow Moving,1,T-94003,10-01-2023 19:13,31-Aug-24,100,0,100,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230100140 From DDW : DWH Bathinda Transaction No. 1031230100140 Document Date : 10-Jan-2023,10-Jan-23
45,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,DWH Bathinda,Tenofovir 300mg Tab [999],Slow Moving,1,T-94004,13-04-2023 23:08,31-Oct-24,100,0,100,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400097 From DDW : DWH Bathinda Transaction No. 1031230400097 Document Date : 13-Apr-2023,13-Apr-23
46,DH Mansa,IndentOnly,RECEIVED_FROM_STORE,CS Mansa,Tenofovir 300mg Tab [999],Slow Moving,1,T-94005,23-06-2023 12:57,30-Nov-24,50,0,150,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600014 From DDW : CS Mansa Transaction No. 1031230600014 Document Date : 23-Jun-2023,23-Jun-23
47,DH Moga,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3135598,04-01-2023 13:58,31-May-24,102,0,102,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230100001 From DDW : DWH Bathinda Transaction No. 1031230100001 Document Date : 04-Jan-2023,04-Jan-23
48,DH Moga,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S200087,04-01-2023 13:58,31-Dec-23,98,0,200,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230100001 From DDW : DWH Bathinda Transaction No. 1031230100001 Document Date : 04-Jan-2023,04-Jan-23
49,DH Moga,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3124801,16-03-2023 10:05,30-Sep-23,500,0,500,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300161 From DDW : DWH Bathinda Transaction No. 1031230300161 Document Date : 16-Mar-2023,16-Mar-23
50,DH Moga,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101607,13-04-2023 13:50,30-Sep-23,150,0,150,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400079 From DDW : DWH Bathinda Transaction No. 1031230400079 Document Date : 13-Apr-2023,13-Apr-23
51,DH Moga,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S101603,11-05-2023 13:22,30-Sep-23,160,0,160,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500080 From DDW : DWH Bathinda Transaction No. 1031230500080 Document Date : 11-May-2023,11-May-23
52,DH Moga,Both,RECEIVED_FROM_STORE,DWH Bathinda,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3127192,25-05-2023 10:36,30-Nov-23,140,0,300,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500289 From DDW : DWH Bathinda Transaction No. 1031230500289 Document Date : 25-May-2023,25-May-23
53,DH Moga,Both,RECEIVED_FROM_STORE,CS Moga,Daclatasvir 60mg Tab [999],Slow Moving,446.88,3127192,08-06-2023 13:50,30-Nov-23,180,0,390,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600004 From DDW : CS Moga Transaction No. 1031230600004 Document Date : 08-Jun-2023,08-Jun-23
54,DH Amritsar,Both,RECEIVED_FROM_STORE,DWH Amritsar,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3132965,11-02-2023 14:15,30-Apr-23,5,0,5,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200111 From DDW : DWH Amritsar Transaction No. 1031230200111 Document Date : 11-Feb-2023,11-Feb-23
55,DH Amritsar,Both,RECEIVED_FROM_STORE,DWH Amritsar,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3132965,04-03-2023 09:22,30-Apr-23,20,0,20,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300014 From DDW : DWH Amritsar Transaction No. 1031230300014 Document Date : 04-Mar-2023,04-Mar-23
56,DH Amritsar,Both,RECEIVED_FROM_STORE,DWH Amritsar,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210904,02-05-2023 12:09,31-Aug-23,24,0,24,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500004 From DDW : DWH Amritsar Transaction No. 1031230500004 Document Date : 02-May-2023,02-May-23
57,DH Amritsar,Both,RECEIVED_FROM_STORE,DWH Amritsar,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,SVS210905,09-06-2023 09:47,31-Aug-23,20,0,20,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600078 From DDW : DWH Amritsar Transaction No. 1031230600078 Document Date : 09-Jun-2023,09-Jun-23
58,DH Amritsar,Both,RECEIVED_FROM_STORE,DWH Amritsar,Tenofovir 300mg Tab [999],Slow Moving,1,T-94003,05-01-2023 09:14,31-Aug-24,500,0,800,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230100043 From DDW : DWH Amritsar Transaction No. 1031230100043 Document Date : 05-Jan-2023,05-Jan-23
59,DH Amritsar,Both,RECEIVED_FROM_STORE,DWH Amritsar,Tenofovir 300mg Tab [999],Slow Moving,1,T-94003,05-01-2023 09:15,31-Aug-24,100,0,900,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230100044 From DDW : DWH Amritsar Transaction No. 1031230100044 Document Date : 05-Jan-2023,05-Jan-23
60,DH Amritsar,Both,RECEIVED_FROM_STORE,DWH Amritsar,Tenofovir 300mg Tab [999],Slow Moving,1,T-94003,11-02-2023 14:16,31-Aug-24,600,0,600,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200112 From DDW : DWH Amritsar Transaction No. 1031230200112 Document Date : 11-Feb-2023,11-Feb-23
61,DH Amritsar,Both,RECEIVED_FROM_STORE,DWH Amritsar,Tenofovir 300mg Tab [999],Slow Moving,1,T-94003,04-03-2023 09:22,31-Aug-24,1200,0,1200,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300014 From DDW : DWH Amritsar Transaction No. 1031230300014 Document Date : 04-Mar-2023,04-Mar-23
62,DH Amritsar,Both,RECEIVED_FROM_STORE,DWH Amritsar,Tenofovir 300mg Tab [999],Slow Moving,1,T-94004,18-05-2023 09:57,31-Oct-24,600,0,600,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230500225 From DDW : DWH Amritsar Transaction No. 1031230500225 Document Date : 18-May-2023,18-May-23
63,DH Amritsar,Both,RECEIVED_FROM_STORE,CS Amritsar,Tenofovir 300mg Tab [999],Slow Moving,1,T-94005,22-06-2023 08:20,30-Nov-24,20,0,20,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600058 From DDW : CS Amritsar Transaction No. 1031230600058 Document Date : 22-Jun-2023,22-Jun-23
64,DH Amritsar,Both,RECEIVED_FROM_STORE,CS Amritsar,Tenofovir 300mg Tab [999],Slow Moving,1,T-94005,22-06-2023 08:21,30-Nov-24,430,0,450,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230600059 From DDW : CS Amritsar Transaction No. 1031230600059 Document Date : 22-Jun-2023,22-Jun-23
65,DH Gurdaspur,Both,RECEIVED_FROM_STORE,DWH Amritsar,Allopurinol 300mg Tab [999],Medium Moving,173.6,UGT221276,28-02-2023 11:26,30-Sep-24,8400,0,8600,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200041 From DDW : DWH Amritsar Transaction No. 1031230200041 Document Date : 28-Feb-2023,28-Feb-23
66,DH Gurdaspur,Both,RECEIVED_FROM_STORE,DWH Amritsar,Allopurinol 300mg Tab [999],Medium Moving,173.6,UGT221276,14-03-2023 11:43,30-Sep-24,8400,0,14000,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300158 From DDW : DWH Amritsar Transaction No. 1031230300158 Document Date : 14-Mar-2023,14-Mar-23
67,DH Gurdaspur,Both,RECEIVED_FROM_STORE,DWH Amritsar,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3132965,28-02-2023 11:23,30-Apr-23,5,0,1010,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200044 From DDW : DWH Amritsar Transaction No. 1031230200044 Document Date : 28-Feb-2023,28-Feb-23
68,DH Gurdaspur,Both,RECEIVED_FROM_STORE,DWH Amritsar,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3127073,01-03-2023 12:15,30-Apr-23,5,0,1015,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230200318 From DDW : DWH Amritsar Transaction No. 1031230200318 Document Date : 01-Mar-2023,01-Mar-23
69,DH Gurdaspur,Both,RECEIVED_FROM_STORE,DWH Amritsar,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3132965,14-03-2023 11:44,30-Apr-23,5,0,1020,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300163 From DDW : DWH Amritsar Transaction No. 1031230300163 Document Date : 14-Mar-2023,14-Mar-23
70,DH Gurdaspur,Both,RECEIVED_FROM_STORE,DWH Amritsar,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3132965,14-03-2023 11:45,30-Apr-23,5,0,1025,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300169 From DDW : DWH Amritsar Transaction No. 1031230300169 Document Date : 14-Mar-2023,14-Mar-23
71,DH Gurdaspur,Both,RECEIVED_FROM_STORE,DWH Amritsar,Sofosbuvir 400mg +Velpatasvir 100mg Tab [999],Slow Moving,4368,3127073,17-05-2023 12:21,30-Apr-23,24,0,1049,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230400240 From DDW : DWH Amritsar Transaction No. 1031230400240 Document Date : 17-May-2023,17-May-23
72,DH Hoshiarpur,IndentOnly,RECEIVED_FROM_STORE,DWH Amritsar,Daclatasvir 60mg Tab [999],Slow Moving,446.88,S200087,27-03-2023 10:06,31-Dec-23,128,0,128,Issue,1.03E+12,1.03E+12,Recieved through Ack Desk against Issue No. 1031230300303 From DDW : DWH Amritsar Transaction No. 1031230300303 Document Date : 27-Mar-2023,27-Mar-23
