,Store,Store_Type,Transaction_Type,Other_Store,Drug_Name,Moving_Type,Drug_Rate,Batch No,Date,Expiry,Received Qty,Issued Qty,Balance,Issue_Type,Issue_Number,Transaction_Number,Particulars,Document_Date,Code,Cost
10,DH Barnala,Both,RECEIVED_FROM_STORE,Cs Barnala,Albendazole Susp 200mg - 5ml  [M-7],Medium Moving,4.4128,AOS3218,12-May-2023 12:59,31-Oct-2024,120,0,2340,Issue,1031230400007,1031230400007,Recieved through Ack Desk against Issue No. 1031230400007 From DDW : Cs Barnala Transaction No. 1031230400007 Document Date : 12-May-2023,12-May-2023,M-7,529.536
11,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Tab (400 mg)  [M-8],Fast Moving,302.94,FDG2F201,16-Jan-2023 09:42,31-May-2025,100,0,4800,Issue,1031230100171,1031230100171,Recieved through Ack Desk against Issue No. 1031230100171 From DDW : DWH Bathinda Transaction No. 1031230100171 Document Date : 16-Jan-2023,16-Jan-2023,M-8,30294.0
12,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Tab (400 mg)  [M-8],Fast Moving,302.94,ABT1054,30-Jan-2023 13:35,31-Aug-2024,100,0,4800,Issue,1031230100387,1031230100387,Recieved through Ack Desk against Issue No. 1031230100387 From DDW : DWH Bathinda Transaction No. 1031230100387 Document Date : 30-Jan-2023,30-Jan-2023,M-8,30294.0
13,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Tab (400 mg)  [M-8],Fast Moving,302.94,ABT-003,19-Apr-2023 12:00,31-Jan-2025,72000,0,76800,Issue,1031230400158,1031230400158,Recieved through Ack Desk against Issue No. 1031230400158 From DDW : DWH Bathinda Transaction No. 1031230400158 Document Date : 19-Apr-2023,19-Apr-2023,M-8,21811680.0
14,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Tab (400 mg)  [M-8],Fast Moving,302.94,ABT-004,19-Apr-2023 12:00,31-Jan-2025,72000,0,148800,Issue,1031230400158,1031230400158,Recieved through Ack Desk against Issue No. 1031230400158 From DDW : DWH Bathinda Transaction No. 1031230400158 Document Date : 19-Apr-2023,19-Apr-2023,M-8,21811680.0
15,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Tab (400 mg)  [M-8],Fast Moving,302.94,ABT-005,19-Apr-2023 12:00,31-Jan-2025,57600,0,206400,Issue,1031230400158,1031230400158,Recieved through Ack Desk against Issue No. 1031230400158 From DDW : DWH Bathinda Transaction No. 1031230400158 Document Date : 19-Apr-2023,19-Apr-2023,M-8,17449344.0
16,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Tab (400 mg)  [M-8],Fast Moving,302.94,ABT-006,19-Apr-2023 12:00,31-Jan-2025,7200,0,213600,Issue,1031230400158,1031230400158,Recieved through Ack Desk against Issue No. 1031230400158 From DDW : DWH Bathinda Transaction No. 1031230400158 Document Date : 19-Apr-2023,19-Apr-2023,M-8,2181168.0
17,DH Barnala,Both,RECEIVED_FROM_STORE,Cs Barnala,Albendazole Tab (400 mg)  [M-8],Fast Moving,302.94,ABT-003,12-May-2023 12:59,31-Jan-2025,48800,0,53600,Issue,1031230400007,1031230400007,Recieved through Ack Desk against Issue No. 1031230400007 From DDW : Cs Barnala Transaction No. 1031230400007 Document Date : 12-May-2023,12-May-2023,M-8,14783472.0
18,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Albendazole Tab (400 mg)  [M-8],Fast Moving,302.94,ABT-007,22-May-2023 10:15,31-Jan-2025,500,0,5300,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-8,151470.0
19,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amikacin Sulphate Inj 500 mg  [M-10],Medium Moving,19.11,I053013A,22-May-2023 10:15,28-Feb-2025,500,0,6500,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-10,9555.0
20,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amiodarone Hcl Inj 150mg/3ml  [M-11],Slow Moving,25.8048,IADRA1220,14-Mar-2023 18:13,31-Oct-2024,50,0,50,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-11,1290.24
21,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amlodipine Tab 5 mg  [M-1],Fast Moving,23.04,AMDT1046,16-Jan-2023 09:42,31-Aug-2024,2000,0,77100,Issue,1031230100171,1031230100171,Recieved through Ack Desk against Issue No. 1031230100171 From DDW : DWH Bathinda Transaction No. 1031230100171 Document Date : 16-Jan-2023,16-Jan-2023,M-1,46080.0
22,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amlodipine Tab 5 mg  [M-1],Fast Moving,23.04,AMDT1048,14-Mar-2023 18:15,31-Aug-2024,5100,0,63200,Issue,1031230300142,1031230300142,Recieved through Ack Desk against Issue No. 1031230300142 From DDW : DWH Bathinda Transaction No. 1031230300142 Document Date : 14-Mar-2023,14-Mar-2023,M-1,117504.0
23,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amlodipine Tab 5 mg  [M-1],Fast Moving,23.04,AMDT1049,14-Mar-2023 18:15,31-Aug-2024,90900,0,154100,Issue,1031230300142,1031230300142,Recieved through Ack Desk against Issue No. 1031230300142 From DDW : DWH Bathinda Transaction No. 1031230300142 Document Date : 14-Mar-2023,14-Mar-2023,M-1,2094336.0
24,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amlodipine Tab 5 mg  [M-1],Fast Moving,23.04,AMDT1061,19-Apr-2023 12:00,31-Aug-2024,48000,0,176100,Issue,1031230400155,1031230400155,Recieved through Ack Desk against Issue No. 1031230400155 From DDW : DWH Bathinda Transaction No. 1031230400155 Document Date : 19-Apr-2023,19-Apr-2023,M-1,1105920.0
25,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amlodipine Tab 5 mg  [M-1],Fast Moving,23.04,AMDT1063,22-May-2023 10:15,31-Aug-2024,20000,0,128100,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-1,460800.0
26,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amlodipine Tab 5 mg  [M-1],Fast Moving,23.04,AMDT1063,22-May-2023 10:17,31-Aug-2024,28000,0,156100,Issue,1031230500273,1031230500273,Recieved through Ack Desk against Issue No. 1031230500273 From DDW : DWH Bathinda Transaction No. 1031230500273 Document Date : 22-May-2023,22-May-2023,M-1,645120.0
27,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amoxycillin + Clauvinic Acid -500mg + 125 mg Tab  [M-14],Fast Moving,491.55,422-1652,16-Jan-2023 09:42,30-Sep-2024,800,0,126050,Issue,1031230100171,1031230100171,Recieved through Ack Desk against Issue No. 1031230100171 From DDW : DWH Bathinda Transaction No. 1031230100171 Document Date : 16-Jan-2023,16-Jan-2023,M-14,393240.0
28,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amoxycillin + Clauvinic Acid -500mg + 125 mg Tab  [M-14],Fast Moving,491.55,422-1652,30-Jan-2023 13:35,30-Sep-2024,24000,0,149250,Issue,1031230100387,1031230100387,Recieved through Ack Desk against Issue No. 1031230100387 From DDW : DWH Bathinda Transaction No. 1031230100387 Document Date : 30-Jan-2023,30-Jan-2023,M-14,11797200.0
29,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amoxycillin + Clauvinic Acid -500mg + 125 mg Tab  [M-14],Fast Moving,491.55,423-161,14-Mar-2023 18:13,31-Dec-2024,24000,0,159250,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-14,11797200.0
30,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amoxycillin + Clauvinic Acid -500mg + 125 mg Tab  [M-14],Fast Moving,491.55,423-573,22-May-2023 10:15,28-Feb-2025,30000,0,159250,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-14,14746500.0
31,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amoxycillin + Clauvinic Acid Inj (1gm + 200 mg)  [M-13],Medium Moving,36.26,322-1097,14-Mar-2023 18:13,31-Oct-2023,2560,0,25878,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-13,92825.59999999999
32,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amoxycillin + Clauvinic Acid Inj (1gm + 200 mg)  [M-13],Medium Moving,36.26,322-1096,19-Apr-2023 12:01,31-Oct-2024,1792,0,27414,Issue,1031230400154,1031230400154,Recieved through Ack Desk against Issue No. 1031230400154 From DDW : DWH Bathinda Transaction No. 1031230400154 Document Date : 19-Apr-2023,19-Apr-2023,M-13,64977.92
33,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amoxycillin + Clauvinic Acid Inj (1gm + 200 mg)  [M-13],Medium Moving,36.26,322-1096,22-May-2023 10:15,31-Oct-2024,768,0,25622,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-13,27847.68
34,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Amoxycillin Dry Syrup 250mg/5ml (60ml)  [M-16],Medium Moving,23.04,DB3016,19-Apr-2023 12:01,31-Jul-2024,500,0,500,Issue,1031230400154,1031230400154,Recieved through Ack Desk against Issue No. 1031230400154 From DDW : DWH Bathinda Transaction No. 1031230400154 Document Date : 19-Apr-2023,19-Apr-2023,M-16,11520.0
35,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Antacid chewable contains dried aluminium hydroxide gel IP 240 mg magnesium hydroxide 100 mg magnesium carbonate 60 mg simethicone 25 mg tab.  [M-225],Fast Moving,33.264,DNR006D,22-May-2023 10:15,28-Feb-2026,4860,0,4860,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-225,161663.04
36,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Anti D-immunoglobulin 150mcg inj  [M-226],Slow Moving,1420.16,A11722003,30-Jan-2023 13:35,31-Jul-2024,10,0,36,Issue,1031230100387,1031230100387,Recieved through Ack Desk against Issue No. 1031230100387 From DDW : DWH Bathinda Transaction No. 1031230100387 Document Date : 30-Jan-2023,30-Jan-2023,M-226,14201.6
37,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Anti D-immunoglobulin 150mcg inj  [M-226],Slow Moving,1420.16,A11722004,22-May-2023 10:15,30-Nov-2024,50,0,50,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-226,71008.0
38,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Anti D-Immunoglobulin Inj 300 mg  [M-227],Slow Moving,1848.0,A10022006,30-Jan-2023 13:35,31-Aug-2025,50,0,125,Issue,1031230100387,1031230100387,Recieved through Ack Desk against Issue No. 1031230100387 From DDW : DWH Bathinda Transaction No. 1031230100387 Document Date : 30-Jan-2023,30-Jan-2023,M-227,92400.0
39,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Anti D-Immunoglobulin Inj 300 mg  [M-227],Slow Moving,1848.0,A10022006,14-Mar-2023 18:13,31-Aug-2025,50,0,170,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-227,92400.0
40,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Anti D-Immunoglobulin Inj 300 mg  [M-227],Slow Moving,1848.0,A10022006,19-Apr-2023 12:01,31-Aug-2025,30,0,175,Issue,1031230400154,1031230400154,Recieved through Ack Desk against Issue No. 1031230400154 From DDW : DWH Bathinda Transaction No. 1031230400154 Document Date : 19-Apr-2023,19-Apr-2023,M-227,55440.0
41,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Anti Rabies Serum IP(Equine)300 units per ml  [M-17],Slow Moving,171.36,02AR22043,22-May-2023 10:15,31-Oct-2024,20,0,20,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-17,3427.2000000000003
42,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Anti Rabies Vaccine (Cell Culture) 2.5 Inj IU/Dose  [M-18],Medium Moving,296.1,4189,14-Mar-2023 18:13,30-Sep-2026,240,0,1153,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-18,71064.0
43,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Anti Rabies Vaccine (Cell Culture) 2.5 Inj IU/Dose  [M-18],Medium Moving,296.1,4191,19-Apr-2023 12:01,30-Sep-2026,270,0,1150,Issue,1031230400154,1031230400154,Recieved through Ack Desk against Issue No. 1031230400154 From DDW : DWH Bathinda Transaction No. 1031230400154 Document Date : 19-Apr-2023,19-Apr-2023,M-18,79947.0
44,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Anti Rabies Vaccine (Cell Culture) 2.5 Inj IU/Dose  [M-18],Medium Moving,296.1,4191,22-May-2023 10:15,30-Sep-2026,240,0,1386,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-18,71064.0
45,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Ascorbic Acid Tab 500 mg  [M-19],Fast Moving,78.3216,VCA63K22,16-Jan-2023 09:42,31-Oct-2024,400,0,10400,Issue,1031230100171,1031230100171,Recieved through Ack Desk against Issue No. 1031230100171 From DDW : DWH Bathinda Transaction No. 1031230100171 Document Date : 16-Jan-2023,16-Jan-2023,M-19,31328.640000000003
46,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Ascorbic Acid Tab 500 mg  [M-19],Fast Moving,78.3216,VCA63K22,14-Mar-2023 18:13,31-Oct-2024,16000,0,26000,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-19,1253145.6
47,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Ascorbic Acid Tab 500 mg  [M-19],Fast Moving,78.3216,VCA64K22,19-Apr-2023 12:01,31-Oct-2024,10000,0,26000,Issue,1031230400154,1031230400154,Recieved through Ack Desk against Issue No. 1031230400154 From DDW : DWH Bathinda Transaction No. 1031230400154 Document Date : 19-Apr-2023,19-Apr-2023,M-19,783216.0
48,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Atenolol Tab 50mg  [M-2],Fast Moving,27.15,CT22230808,30-Jan-2023 13:35,31-Aug-2024,20000,0,39696,Issue,1031230100387,1031230100387,Recieved through Ack Desk against Issue No. 1031230100387 From DDW : DWH Bathinda Transaction No. 1031230100387 Document Date : 30-Jan-2023,30-Jan-2023,M-2,543000.0
49,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Atenolol Tab 50mg  [M-2],Fast Moving,27.15,CT22230808,14-Mar-2023 18:13,31-Aug-2024,25000,0,41666,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-2,678750.0
50,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,"Atorvastatin Ca 20mg, IP(coated) Tab  [M-20]",Fast Moving,65.0,STTZ-16,16-Jan-2023 09:42,30-Sep-2024,200,0,200,Issue,1031230100171,1031230100171,Recieved through Ack Desk against Issue No. 1031230100171 From DDW : DWH Bathinda Transaction No. 1031230100171 Document Date : 16-Jan-2023,16-Jan-2023,M-20,13000.0
51,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,"Atorvastatin Ca 20mg, IP(coated) Tab  [M-20]",Fast Moving,65.0,STTZ-16,30-Jan-2023 13:35,30-Sep-2024,2000,0,2000,Issue,1031230100387,1031230100387,Recieved through Ack Desk against Issue No. 1031230100387 From DDW : DWH Bathinda Transaction No. 1031230100387 Document Date : 30-Jan-2023,30-Jan-2023,M-20,130000.0
52,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,"Atorvastatin Ca 20mg, IP(coated) Tab  [M-20]",Fast Moving,65.0,STTZ-16,14-Mar-2023 18:13,30-Sep-2024,1000,0,1500,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-20,65000.0
53,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,"Atorvastatin Ca 20mg, IP(coated) Tab  [M-20]",Fast Moving,65.0,STTZ-16,19-Apr-2023 12:01,30-Sep-2024,3000,0,3600,Issue,1031230400154,1031230400154,Recieved through Ack Desk against Issue No. 1031230400154 From DDW : DWH Bathinda Transaction No. 1031230400154 Document Date : 19-Apr-2023,19-Apr-2023,M-20,195000.0
54,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,"Atorvastatin Ca 20mg, IP(coated) Tab  [M-20]",Fast Moving,65.0,STTZ-16,22-May-2023 10:15,30-Sep-2024,5000,0,5400,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-20,325000.0
55,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Atropine Sulphate Inj 0.6 mg/ml  [M-22],Slow Moving,3.36,MA23C53,22-May-2023 10:15,28-Feb-2025,2000,0,2550,Issue,1031230500271,1031230500271,Recieved through Ack Desk against Issue No. 1031230500271 From DDW : DWH Bathinda Transaction No. 1031230500271 Document Date : 22-May-2023,22-May-2023,M-22,6720.0
56,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Azithromycin Syp 100mg/5ml  [M-23],Medium Moving,9.98,LHA2005AL,16-Jan-2023 09:42,30-Apr-2024,50,0,750,Issue,1031230100171,1031230100171,Recieved through Ack Desk against Issue No. 1031230100171 From DDW : DWH Bathinda Transaction No. 1031230100171 Document Date : 16-Jan-2023,16-Jan-2023,M-23,499.0
57,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Azithromycin Syp 100mg/5ml  [M-23],Medium Moving,9.98,LHA2006AL,14-Mar-2023 18:13,30-Apr-2024,500,0,1200,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-23,4990.0
58,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Azithromycin Syp 100mg/5ml  [M-23],Medium Moving,9.98,LHA2006AL,19-Apr-2023 12:01,30-Apr-2024,500,0,1300,Issue,1031230400154,1031230400154,Recieved through Ack Desk against Issue No. 1031230400154 From DDW : DWH Bathinda Transaction No. 1031230400154 Document Date : 19-Apr-2023,19-Apr-2023,M-23,4990.0
59,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Azithromycin Tab 500 mg  [M-24],Fast Moving,644.62,TJ2054A,16-Jan-2023 09:42,30-Sep-2024,500,0,12500,Issue,1031230100171,1031230100171,Recieved through Ack Desk against Issue No. 1031230100171 From DDW : DWH Bathinda Transaction No. 1031230100171 Document Date : 16-Jan-2023,16-Jan-2023,M-24,322310.0
60,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Azithromycin Tab 500 mg  [M-24],Fast Moving,644.62,TA3043A,14-Mar-2023 18:13,31-Dec-2024,30000,0,31500,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-24,19338600.0
61,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Betamethasone 0.05 % IP Cream  [M-26],Medium Moving,5.77,BTN-2209,16-Jan-2023 09:42,31-Jul-2024,50,0,50,Issue,1031230100171,1031230100171,Recieved through Ack Desk against Issue No. 1031230100171 From DDW : DWH Bathinda Transaction No. 1031230100171 Document Date : 16-Jan-2023,16-Jan-2023,M-26,288.5
62,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Betamethasone 0.05 % IP Cream  [M-26],Medium Moving,5.77,BTN-2215,14-Mar-2023 18:13,30-Sep-2024,1000,0,1000,Issue,1031230300140,1031230300140,Recieved through Ack Desk against Issue No. 1031230300140 From DDW : DWH Bathinda Transaction No. 1031230300140 Document Date : 14-Mar-2023,14-Mar-2023,M-26,5770.0
63,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Betamethasone 0.05 % IP Cream  [M-26],Medium Moving,5.77,BTN-2216,19-Apr-2023 12:01,30-Sep-2024,500,0,500,Issue,1031230400154,1031230400154,Recieved through Ack Desk against Issue No. 1031230400154 From DDW : DWH Bathinda Transaction No. 1031230400154 Document Date : 19-Apr-2023,19-Apr-2023,M-26,2885.0
64,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,Betamethasone 0.05 % IP Cream  [M-26],Medium Moving,5.77,BTN-2216,22-May-2023 10:17,30-Sep-2024,1600,0,2100,Issue,1031230500273,1031230500273,Recieved through Ack Desk against Issue No. 1031230500273 From DDW : DWH Bathinda Transaction No. 1031230500273 Document Date : 22-May-2023,22-May-2023,M-26,9232.0
65,DH Barnala,Both,RECEIVED_FROM_STORE,DWH Bathinda,"Betamethasone Sod. Phosphate,I.P Inj - 4 mg per 1 ml  [M-27]",Slow Moving,2.184,BTM-04,16-Jan-2023 09:42,30-Sep-2024,2,0,302,Issue,1031230100171,1031230100171,Recieved through Ack Desk against Issue No. 1031230100171 From DDW : DWH Bathinda Transaction No. 1031230100171 Document Date : 16-Jan-2023,16-Jan-2023,M-27,4.368
